**TUOTELISTAUS START**
id: 1195, tuote: Radontuuletuksen pystypútki, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1196, tuote: Hule- ja pintavesisuunnitelma, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1197, tuote: Huonekorkeus, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1199, tuote: Omakotitalon rakennusaikainen vakuutus, tarkenne_yleinen:  , tarkenne_sievitalo: Omakotitalon rakennusaikainen vakuutus, kattaa Sievitalon kautta tulevat tarvikkeet ja työt
id: 1203, tuote: Perinnetalo, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1210, tuote: Perustussuunnittelu, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1211, tuote: Loppusiivous, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1212, tuote: Tavaran vastaanotto, tarkenne_yleinen:  , tarkenne_sievitalo: sisustusmateriaalit
id: 1213, tuote: Työmaaikainen siivous, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1215, tuote: Lämpöpuhallin, tarkenne_yleinen:  , tarkenne_sievitalo: rakentamisen aikainen
id: 1216, tuote: Rakennuskuivain, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1217, tuote: KVV/IV-työnjohto, tarkenne_yleinen:  , tarkenne_sievitalo: rakennuksien sisäpuoliset LVI-työt
id: 1218, tuote: Ulkopuolen KVV/IV-työnjohto, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1219, tuote: Sisustussuunnittelupalvelu, tarkenne_yleinen:  , tarkenne_sievitalo: 3h
id: 1220, tuote: Hiilijalanjälkilaskenta, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1221, tuote: Perustus, tarkenne_yleinen: Maanvarainen, tarkenne_sievitalo: Maanvarainen alapohja. Lämpöeristettysokkelipalkki SP 300-900.
id: 1222, tuote: Perustus, tarkenne_yleinen: Kantava väliseinä, tarkenne_sievitalo:  
id: 1223, tuote: Antura, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1224, tuote: Paaluperustus, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1225, tuote: Alapohjan viemäreiden kannakointi, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1226, tuote: Päärakennesuunnittelijana toimiminen, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1231, tuote: Höyrynsulku, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1232, tuote: Höyrynsulku, tarkenne_yleinen: Intello, tarkenne_sievitalo:  
id: 1233, tuote: Lämmöneriste, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1234, tuote: Lämmöneriste, tarkenne_yleinen: Ekovilla, tarkenne_sievitalo:  
id: 1235, tuote: Lämmöneriste, tarkenne_yleinen: Puukuituinen, tarkenne_sievitalo:  
id: 1236, tuote: Tuulensuojalevy, tarkenne_yleinen: Kipsilevy, tarkenne_sievitalo:  
id: 1237, tuote: Tuulensuojalevy, tarkenne_yleinen: Puukuituinen, tarkenne_sievitalo:  
id: 1238, tuote: Puukuitutuulensuojalevy, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1240, tuote: Sisäverhouskipsilevy, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1241, tuote: Sisäverhouskipsilevy, tarkenne_yleinen: Normaali, tarkenne_sievitalo: Normaali
id: 1242, tuote: Sisäverhouskipsilevy, tarkenne_yleinen: KN, tarkenne_sievitalo: KN
id: 1243, tuote: Sisäverhouskipsilevy, tarkenne_yleinen: Erikoiskova, tarkenne_sievitalo: Erikoiskova
id: 1244, tuote: Sisäverhouskipsilevy, tarkenne_yleinen: EK, tarkenne_sievitalo: EK
id: 1245, tuote: Sisäverhouskipsilevy, tarkenne_yleinen: GEK, tarkenne_sievitalo: GEK
id: 1246, tuote: Ulkoverhous tehostepanelointi, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1247, tuote: Ulkoverhous vaakapaneeli, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1248, tuote: Ulkoverhous vaakapaneeli, tarkenne_yleinen: 23x, tarkenne_sievitalo:  
id: 1249, tuote: Ulkoverhous vaakapaneeli, tarkenne_yleinen: 28x, tarkenne_sievitalo:  
id: 1250, tuote: Pystypaneeli, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1251, tuote: Pystypaneeli, tarkenne_yleinen: 23x, tarkenne_sievitalo:  
id: 1252, tuote: Pystypaneeli, tarkenne_yleinen: 28x, tarkenne_sievitalo:  
id: 1253, tuote: Pieneläinverkko tai hiirieste, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1254, tuote: Ulkoverhouksen välimaalaus tai välimaalausväri, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1255, tuote: Ulkoverhouksen 3. maalauskerta, tarkenne_yleinen:  , tarkenne_sievitalo:  
id: 1256, tuote: Sivuräystäs syvyys, tarkenne_yleinen:  , tarkenne_sievitalo:  
